epoch,accuracy,loss,val_accuracy,val_loss
0,0.7720000147819519,0.6254500150680542,0.6725000143051147,0.7433006763458252
1,0.8640000224113464,0.3469759225845337,0.8987500071525574,0.28088241815567017
2,0.8865000009536743,0.27282220125198364,0.9037500023841858,0.26790502667427063
3,0.9004999995231628,0.27172309160232544,0.9012500047683716,0.2693842351436615
4,0.9194999933242798,0.21307994425296783,0.893750011920929,0.27156466245651245
5,0.9269999861717224,0.18991786241531372,0.8949999809265137,0.3190895617008209
6,0.9294999837875366,0.1833544671535492,0.8849999904632568,0.3967035710811615
7,0.9470000267028809,0.13805560767650604,0.9024999737739563,0.3519430160522461
8,0.9390000104904175,0.15236607193946838,0.8774999976158142,0.474328875541687
9,0.9595000147819519,0.12037218362092972,0.9012500047683716,0.3848094940185547
